Item,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MP062115 - ACEITE GIRASOL REFINADO -  -  - - kg,"2,451.21","2,763.70","6,186.95","4,787.80","4,087.80","5,802.31","6,305.76","7,378.23","4,718.81","2,038.05","2,835.57","4,244.70"
MP800293 - JUGO LIMON DESHIDRATADO -  -  - - kg,"3,440.69","12,200.64","12,012.99","11,148.12","10,542.71","9,331.88","8,847.56","8,397.83","7,731.96","6,560.92","5,644.16","4,243.06"
MP050011 - SORBATO DE POTASIO -  -  - FT-A33 - kg,"5,812.92","9,549.70","6,789.00","17,405.29","15,125.56","12,576.54","9,808.61","8,022.42","5,654.43","6,565.54","3,493.07","4,211.86"
MP060125 - GLUCOSA -  -  - - kg,"5,007.14","2,713.53","3,240.08","2,095.17","2,108.16","7,565.61","2,696.06","1,673.52","4,507.05","2,168.97","5,252.06","4,059.92"
MP062066 - CONDIMENTO TAPA MDM -  -  - - kg,"4,246.38","3,614.51","2,486.11","1,630.74","2,766.87","3,731.80","3,851.38","3,339.32","2,604.03","3,171.91","2,143.02","4,001.60"
MP060046 - PIMIENTA BLANCA -  -  - FT-A22 - kg,"4,410.83","5,405.75","6,623.20","6,729.73","4,087.93","3,069.67","2,649.61","4,464.15","5,439.15","4,286.32","4,599.33","3,815.71"
MP060038 - HUMO LIQUIDO -  -  - FT-A79 - kg,"6,275.22","6,704.94","5,905.05","5,247.56","4,899.19","4,112.28","3,369.96","5,876.30","4,419.61","5,835.87","4,285.48","3,786.43"
MP062236 - SABOR PAVO -  -  - . - kg,"2,077.88","1,599.67","1,126.01",360.86,"1,440.19",793.87,"9,233.49","8,544.32","7,606.29","2,506.62","2,549.61","3,781.24"
MP062007 - PROTEINA SUPROMAX 5050 -  -  - - kg,"3,536.80","2,232.31","1,336.15","1,483.96","4,238.72","2,076.17","4,159.82","3,155.64","5,031.15","3,744.70","5,933.05","3,692.65"
MP800182 - ALMIDON THERMLO -  -  - - kg,"2,588.90","1,774.02","5,473.56","10,320.87","12,023.01","10,782.54","9,616.69","8,857.48","8,092.59","6,437.92","4,948.68","3,634.69"
MP060053 - DORADOR -  -  - FT-A60 - kg,"2,106.33","1,484.38","2,493.93","1,532.45",757.86,"1,767.33","1,161.16","2,331.59","1,382.72","2,421.76","1,032.10","3,626.74"
MP062197 - REFORZADOR DE SAL SILECIA -  -  - . - kg,"4,746.98","3,004.32","5,793.73","2,876.94","3,351.76","4,730.05","4,805.11","2,681.31","4,230.73","2,635.35","5,623.35","3,533.07"
MP062318 - APANADURA FORTIFIC BREADCRUMBS -  - MP5 124/4 - MP062318 - kg,,0.00,0.00,"4,700.00","4,700.00","4,700.00","4,700.00","3,641.13","2,733.30",646.26,"1,693.80","3,521.81"
MP062053 - COLORANTE ACHIOTE CONCENTRADO -  - A-1000-WS - - kg,"4,726.00","3,882.56","1,378.52","1,431.25","3,030.72","2,460.04","6,971.15","3,521.29","7,199.19","4,329.94","4,111.93","3,503.63"
MP050002 - ACIDO CITRICO -  -  - FT-A4 - kg,"6,265.79","8,624.75","11,457.80","7,051.96","1,865.61","8,882.16","9,515.03","3,504.13","7,041.82","8,782.27","9,900.83","3,077.59"
MP062248 - MASA BASE PIZZA PRECOCIDA -  -  - - uni,298.92,267.42,"4,604.37","4,591.43","2,403.14",33.64,"1,415.70","1,338.77","2,562.89","1,243.71","2,240.43","2,943.37"
MP800205 - POLVO DE COCOA -  -  - . - kg,"5,793.75","5,714.11","4,881.68","3,711.42","3,028.60","6,133.74","1,451.63","1,011.97","2,152.36","5,452.11","5,008.76","2,912.90"
MP800298 - VINAGRE FLEISCHMANN (30%) -  -  - WDV300 - kg,"29,683.07","28,203.07","27,872.96","23,829.13","22,206.08","19,862.32","17,171.91","14,283.44","11,945.16","8,288.73","5,477.66","2,839.16"
MP800266 - BETACAROTENO 3% CWS/M -  -  - - kg,"7,747.66","9,585.39","4,507.55","6,218.68","3,306.91","2,449.82",957.58,"1,592.63","8,754.40","4,207.09","7,889.37","2,639.19"
MP050039 - HUMO LIQUIDO P/ATOMIZAR -  -  - MP050039 - kg,"2,873.42","2,648.30","1,267.62","3,060.01","2,302.99","3,500.02","4,207.35","2,830.30","1,774.62","4,353.52","2,666.47","2,620.82"
MP800288 - VINAGRE BALSAMICO -  -  - . - kg,192.50,192.50,181.24,122.12,118.74,115.37,184.84,184.84,184.84,265.64,"2,582.84","2,516.62"
MP060036 - GLUTAMATO MONOSODICO -  -  - FT-A1 - kg,"2,235.68","2,157.71","1,290.11","2,624.79","1,945.75","1,407.69","2,147.48","2,335.31","1,644.95","1,690.25","2,115.30","2,514.32"
MP062235 - MEZCLA HUMO LIQ.ACIDO LACTICO -  -  - . - kg,"4,813.50","5,418.10","5,883.29","7,854.59","3,197.42","4,728.18","5,479.68","5,726.40","1,728.42","8,001.91","8,527.45","2,496.48"
MP800285 - COLOR CARAMELO LIQUIDO -  -  - MP800285 - kg,"2,596.77","1,925.20","2,158.50","1,599.44","1,689.01",909.76,"1,414.72","1,559.67","1,420.75","2,025.38","1,249.44","2,426.42"
MP800154 - COLORANTE CAROTENO -  - kg - - kg,"1,969.50","4,312.86","5,195.53","4,603.78","3,845.28","2,730.40","1,773.77","3,762.97","2,960.63","2,065.80","1,026.30","2,403.62"
MP800176 - PULPA AJI JALAPENO ROJO PURE -  -  - 310209 - kg,9.42,"5,380.50","5,240.00","7,016.03","8,280.15","10,653.99","7,212.51","3,034.90","6,454.11","7,391.52","5,065.37","2,367.42"
MP800030 - CURCUMA NATURAL -  -  - - kg,"5,307.73","3,406.54","2,132.82","1,468.17","1,401.28","3,617.19","3,268.27","2,658.21","2,758.27","1,899.88","3,382.33","2,341.91"
MP800305 - STABIMULS MR 52 -  -  - MP800305 - kg,"4,222.00","4,222.00","4,222.00","4,222.00","4,222.00","4,222.00","4,036.49","3,356.44","3,107.60","2,973.26","2,787.75","2,311.17"
MP062234 - CONDIMENTO D -  -  - . - kg,696.38,"1,426.73",650.71,"2,175.69","1,907.55","1,481.17","1,640.20","1,410.32","1,699.67","1,319.95","1,808.43","2,160.34"
MP800051 - PIMIENTA DULCE EN POLVO -  -  - - kg,"3,786.98","2,475.67","3,755.87","2,096.59",902.84,"2,353.24","2,168.54","2,250.91","2,863.05","3,574.42","3,972.93","2,128.18"
MP050045 - TRIPOLIFOSFATO DE SODIO 501 -  -  - - kg,0.00,0.00,"1,947.29","1,380.47","1,062.87","1,416.27","1,488.22",518.72,"2,560.62","2,459.31","1,633.57","2,064.37"
MP060001 - ABLANDAC -  -  - FT-A90 - kg,995.84,"1,281.16",440.36,"2,752.35","2,375.57","3,924.44","4,075.76","4,853.53","4,390.84","5,038.13","2,510.57","2,055.67"
MP800292 - CONCENTRADO ASEPTICO GUAYABA -  -  - - kg,"17,874.58","11,659.62","5,444.78",6.06,"3,892.95","10,110.40","4,672.39","10,185.25","14,662.32","5,699.82","7,375.33","2,055.06"
MP060069 - HARINA -  -  - FT-A2 - kg,"1,996.86","3,179.90",833.33,"1,965.04","2,195.89","3,197.80","3,690.52","1,791.19","2,717.39","3,661.07","1,572.46","1,938.18"
MP062250 - MARINADOR SIN SABOR P/CARNES -  -  - . - kg,"1,291.48","3,283.93","5,695.81","3,842.15","2,229.83","4,364.03","2,451.59","4,622.99","2,920.24","4,800.69","3,912.95","1,886.83"
MP800155 - TOCOFEROL -  - kg - - kg,"2,386.65","1,610.69","2,372.75","1,612.39","1,110.18","1,465.23",578.79,"1,253.12","4,126.96","3,314.83","2,563.50","1,852.09"
MP062300 - OLEORRESINA CEBOLLA -  -  - - kg,"1,732.17","1,570.56","1,387.06","1,135.46",999.42,752.24,441.06,930.84,545.86,"1,324.93",868.61,"1,850.61"
MP062301 - OLEORRESINA COMINO -  -  - - kg,"6,903.96","6,761.71","6,484.68","6,156.92","6,055.12","5,723.21","5,131.35","4,752.02","3,519.22","3,464.99","3,370.15","1,837.60"
MP062261 - PREMIX MINERALES -  -  - . - kg,"3,115.50","3,115.50","3,070.88","3,070.88","3,032.44","2,851.59","2,816.62","2,703.38","2,549.38","2,441.74","2,130.63","1,815.08"
